CLORAFAL	250MG/5ML	FL/60ML	PDRE.P/SUSP
CLORAFAL	500MG	BTE/16	GLES.
CLORAMID	10MG	B/40	COMP.
CLORAXENE	10MG	B/30	GLES.
CLORAXENE	5MG	B/30	GLES.
CLORESAL	10MG	BTE/50	COMP.SEC.
CLOTASOL	0.05%	T/45G	PDE.DERM.
CLOTASOL	0.05%	TUBE/45G	CRE.DERMIQU
CLOTASOL	0.05%	TUBE/45G	GEL.APPL.CA
CLOTERMEX	1%	TBE/30G	CRE.DERM.
CLOVIR	200MG	B/25	COMP.
CLOVIR	200MG	BTE/30	COMP.
CLOVIR	5%	T/10 G	CRE.
CLOVIRAX	200MG	BTE/30	COMP.
CLOVIRAX	5%	TUBE/10G	CRE.DERM.
CLOVIRAX	5%	TUBE/2 G	CRE.DERM.
CLOXTON	200MG	BTE/20	COMP.PELLI.
CO APROSART	150MG/12.5MG	BTE/30	COMP.ENRO.
CO APROSART	300MG/12.5MG	BTE/30	COMP.ENRO.
CO APROSART	300MG/25MG	BTE/30	COMP.PELLI
CO ARBITAN	160MG/25MG	BTE/30	COMP.PELLI
CO AVASART	150MG/12.5MG	BTE/30	COMP.PELLI
CO AVASART	300MG/12.5MG	BTE/30	COMP.PELLI
CO AVASART	300MG/25MG	BTE/30	COMP.PELLI
CO BIPROTENS	10MG/6.25MG	BTE/30	COMP.PELLI
CO BIPROTENS	5MG/6.25MG	BTE/30	COMP.PELLI
CO IRBEVEL	150MG/12.5MG	BTE/30	COMP.ENRO.
CO IRBEVEL	300MG/12.5MG	BTE/30	COMP.ENRO.
CO SARCAND	8MG/12.5MG	BTE/30	COMP.
CO SARTEG	160MG/25MG	B/30	COMP.ENRO.
CO SARTEG	320MG/25MG	BTE/30	COMP.PELLI
CO TABUVAN	160MG/12.5MG	BTE/30	COMP.PELLI
CO TABUVAN	160MG/25MG	BTE/30	COMP.PELLI
CO TAROVAL	80MG/12.5MG	BTE/30	COMP.PELLI
CO TENSOTEL	40MG/12.5MG	BTE/30	COMP.
CO TENSOTEL	80MG/12.5MG	BTE/30	COMP.
CO TENSOTEL	80MG/25MG	BTE/30	COMP.
CO VALASTAN	160MG/12.5MG	BTE/28	COMP.PELLI
CO VALASTAN	160MG/25MG	BTE/28	COMP.PELLI
CO VALASTAN	160MG/25MG	BTE/30	COMP.PELLI
CO VALASTAN	80MG/12.5MG	BTE/28	COMP.PELLI
CO VALASTAN	80MG/12.5MG	BTE/30	COMP.PELLI
CO VALSARTAN IVAL	160MG/12.5MG	BTE/30	COMP.PELLI
CO VAREG	80MG/12.5MG	BTE/30	COMP.PELLI
CO-APRIVAL	150MG/12.5MG	BTE/30	COMP.PELLI
CO-APRIVAL	300MG/12.5MG	BTE/30	COMP.PELLI
CO-APRIVAL	300MG/25MG	BTE/30	COMP.PELLI
CO-ARADEX 150/12.5	150MG/12.5MG	BTE/30	COMP.
CO-ARADEX 300/12.5	300MG/12.5MG	BTE/30	COMP.
CO-ARADEX 300/25	300MG/25MG	BTE/30	COMP.
CO-ARBITAN	160MG/12.5MG	BTE/30	COMP.PELLI
CO-ARBITAN	80MG/12.5MG	BTE/30	COMP.PELLI
CO-ATABEK	8MG/12.5MG	BTE/30	COMP.SEC.
CO-ATABEK	BTE/30	16MG/12.5MG	COMP.SEC.
CO-BEKERDIS	40MG/12.5MG	BTE/30	COMP.
CO-BEKERDIS	80MG/12.5MG	BTE/30	COMP.
CO-BEKERDIS	80MG/25MG	BTE/30	COMP.
CO-BISOPROLOL BEKER	10MG/6.25MG	BTE/30	COMP.PELLI
CO-BISOPROLOL BEKER	5MG/6.25MG	BTE/30	COMP.PELLI
CO-DOLYC	500MG/30MG	BTE/20	COMP.
CO-HYSARTAN	50MG/12.5MG	BTE/28	COMP.PELLI
CO-IRBEDIM	150MG/12.5MG	BTE/30	COMP.PELLI
CO-IRBEDIM	300MG/12.5MG	BTE/30	COMP.PELLI
CO-IRBEDIM	300MG/25MG	BTE/30	COMP.PELLI
CO-IRBEK	150MG/12.5MG	BTE/30	COMP.PELLI
CO-IRBEK	150MG/12.5MG	BTE/90	COMP.PELLI
CO-IRBEK	300MG/12.5MG	BTE/28	COMP.PELLI
CO-IRBEK	300MG/12.5MG	BTE/30	COMP.PELLI
CO-IRBEK	300MG/12.5MG	BTE/90	COMP.PELLI
CO-IRBEK	300MG/25MG	BTE/30	COMP.PELLI
CO-IRBEK	300MG/25MG	BTE/90	COMP.PELLI
CO-IRBEVEL	150MG/12.5MG	BTE/30	COMP.PELLI
CO-IRBEVEL	300MG/12.5MG	BTE/30	COMP.PELLI
CO-IRBEVEL	300MG/25MG	BTE/30	COMP.PELLI
CO-IRBEZART	150MG/12.5MG	BTE/30	COMP.PELLI
CO-IRBEZART 300MG+12.5MG	300MG/12.5MG	BTE/30	COMP.PELLI
CO-IRBEZART 300MG+25MG	300MG/25MG	BTE/30	COMP.PELLI
CO-LIPIRINAD	160MG/25MG	BTE/28	COMP.PELLI
CO-LIPIRINAD	80MG/12.5MG	BTE/28	COMP.PELLI
CO-NORTA	50MG/12.5MG	BTE/30	COMP.PELLI
CO-NORTA FORT	100MG/25MG	BTE/28	COMP.PELLI.
CO-RETA	160MG/25MG	BTE/30	COMP.PELLI
CO-RETA	80MG/12.5MG	BTE/30	COMP.PELLI
CO-TABUVAN	80MG/12.5MG	BTE/30	COMP.PELLI
CO-TENSOPREL	50MG/25MG	BTE/30	COMP.
CO-VALEX	160MG/12.5MG	BTE/30	COMP.PELLI
CO-VALEX	160MG/25MG	BTE/30	COMP.PELLI
CO-VALEX	80MG/12.5MG	BTE/30	COMP.PELLI
CO-VALSARTAN IVAL	160MG/25MG	BTE/30	COMP.PELLI
COAPROVEL	150/12.5MG	B/28	COMP.
COAPROVEL	300/12.5MG	B/28	COMP.
COAPROVEL	300MG/25MG	BTE/28	COMP.PELLI
COARAVEL	150MG/12.5MG	BTE/30	COMP.PELLI
COBAMINE	1000G/ML	B/5 AMP DE 1ML	SOL.INJ.
COBAMINE	100G/ML		SOL.INJ.
COBAVIT	1000G/2ML	BTE/5 AMPOULES	SOL.INJ ET
COBEKTAL	100MG/25MG	BTE/28	COMP.PELLI
COBEKTAL	100MG/25MG	BTE/30	COMP.PELLI
COBEKTAL	50MG/12.5MG	BTE/28	COMP.PELLI
COBEKTAL	50MG/12.5MG	BTE/30	COMP.PELLI
CODOFEBRIL	500MG/30MG	BTE/16	COMP.EFF.SE
CODOL	400MG/20MG	BTE/20	COMP.
CODOLIPRANE	400MG/20MG	B/16	COMP.
COEXPANDOL	400MG/20MG	BTE/16	COMP.
COLCHICINE HOUDE	1MG	B/20	COMP.
COLCHIMED	1MG	B/20	COMP.
COLCHIMEX	1MG	BTE/20	COMP.
COLECALCIFEROL	200000UI/ML	B/1 AMP	SOL.BUV.
COLESTOR	40MG	BTE/30	GLES.
COLESTOR LP	80MG	BTE/30	COMP.PELL.L
COLICORT	25/1/0.1MUI/%	FL/5 ML	SOL.
COLIMYSTINE	1.5MUI	B/10	COMP.
COLIRCUSI ATROPINE	0.50%	FL/10 ML	COLLY.
COLIRCUSI ATROPINE	1%	FL/10 ML	COLLY.
COLIRCUSI GENTAMICINE	3MG/ML	FL/10 ML	COLLY.
COLIRCUSI GENTAMYCINE	3MG/ML	FL/10 ML	COLLY.
COLIRCUSI NEOMYCINE	0.35%	FL/10 ML	COLLY.
COLISTIN	1000000UI	B/1+1 AMP	PDRE.SOL.IN
COLOBUTINE	100MG	B/20	COMP.
COLOCLEAN	59G/5.68G/1.68G/1.64G/075G/SACG/SACHET	BTE/4	PDR.SOL.BUV
COLOPRIV	100MG	B/30	GLES.
COLOSPASMINE	135MG	B/20	COMP.
COLOSTOP	0.787G/100G	FL/250ML	GRLES.SUSP.
COLOSTOP	100MG	BTE/20	COMP.
COLOSTOP	200MG	BTE/30	COMP.
COLPOSEPT	10MG/200MG	BT/18	COMP.GYNECO
COLPOSEPTINE	10MG/200MG	B/18	COMP.GYNECO
COLPOTROPHINE	10MG	B/10	CAPS.VAG.
COLPOVITAL	10MG	BTE/10	CAPS.MOLLE.
COMAX	25MG	B/30	COMP.
COMAX	50MG	B/20	COMP.
COMBANTRIN	125MG	B/6	COMP.
COMBANTRIN	125MG/2.5ML	FL/15 ML	SIR.
COMTAN	200MG	BTE/30	COMP.PELLI
CONSTILAX (MACROGOL 4000)	10G/SACHET	B/20	PDRE.SOL.BU
CONTRACIDE	4.00/8.00/2.0MG	FL/250 ML	SUSP.BUV.
CONTRAPAQUE 300	300MGD'IODE/MLMG/ML	BTE DE 1FL DE 100ML	SOL.INJ.
CONTRAPAQUE 350	350MGD'IODE/MLMG/ML	B/ DE 1FL DE 100ML	SOL.INJ.
CONVEP	200MG/ML	FL/60ML	SOL.BUV.
CONVERTASE	20MG	B/30	COMP.
CONVERTASE	5MG	B/30	COMP.
CONVULEX	200MG	B/40	CAPS.
CONVULEX	200MG/ML	FL/40 ML	SOLUTE BUV.
CONVULEX	500MG	B/40	CAPS.
CONVULEX	50MG/ML	F/100ML	SIR.ENF.
COPARALGAN	400MG/20MG	BTE/20	COMP.SEC.
COPARAMOL	400MG/20MG	B/20	COMP.
COPARAMOL FORT	500MG/30MG	BTE/20	COMP.
COPRALGIR	400MG/20MG	B/16	COMP.
CORACTEN	20MG	B/30	GLES.LP.
CORDARONE	200MG	B/30	COMP.
CORDIPIN RETARD	20MG	B/30	COMP.LP.
CORDIPINE	10MG	BTE/30	COMP.PELLI.
CORECT	100MG	BTE/30	COMP.SEC.
CORECT	50MG	BTE/30	COMP.
CORED XL	80MG	BTE/30	COMP.PELL.L
CORENIPRIL	10MG/25MG	BTE/40	COMP.SEC.
CORENIPRIL	5MG/12.5MG	BTE/40	COMP.SEC.
CORONAT	25MG	B/30	COMP.
CORONAT	6.25MG	B/30	COMP.
CORONOL	0.3%(3MG/ML)	FL/5 ML	COLLYRE.SOL
COROTREND 10	10MG	B/30	GLES.
CORPRILOR	20MG	B/30	COMP.SEC.
CORPRILOR	5MG	B/30	COMP.SEC.
CORTANCYL	5MG	B/30	COMP.
CORTEN	1%(1G/100G)G/G	T/15G	CRE.DERM.
CORTICOTULLE LUMIERE GM		B/100	GM.
CORTICOTULLE LUMIERE GM		B/30	GM.
CORTICOTULLE LUMIERE PM		B/5 COMPRESSES	PM.
CORTIDAL	15MG/5ML	FL/120 ML	SOL.BUV.
CORTIDAL	1MG/ML	FL/50ML	SOL.BUV.
CORTIDAL	20MG	BTE/20	COMP ORO DI
CORTIDAL	5MG	BTE/30	COMP ORO DI
CORTIDERM	1%	T/10 G	CRE.
CORTILAM	16MG	BTE/20	COMP.SEC.
CORTILAM	4MG	BTE/20	COMP.SEC.
CORTIMAZOL FORT-RATIOPHARM	800/160MG	B/10	COMP.
CORTIMYCINE	1%	T/5 G	PDE.OPHT.
CORTINOVA	10MG	B/25	COMP.
CORTIPRED	20MG	BTE/20	COMP.EFFER.
CORTIPRED ORO	20MG	BTE/20	COMP ORO DI
CORTOLEXAN	80MG/2ML	B/1	AMP.INJ.
CORTORAL	4MG	B/24	COMP.
CORTROSYN	0.25MG	B/1 AMP DE 1ML	PDRE SOL IN
CORTROSYN	0.5MG	B/1 AMP DE 1ML	INEUSE PDRE.SOL.IN
CORTROSYN DEPOT	1MG	B/1 AMP DE 1ML	INEUSE PDRE.SOL.IN
CORTYX	0.05%	T/15 G	PDE.DERM.
CORTYX	0.1%	TUBE/15G	PDE.DERM.
CORVASAL	2MG	B/30	COMP.
CORVASAL	2MG	B/30	COMP.SEC.
CORVASAL	4MG	B/30	COMP.
CORZEM	60MG	B/30	COMP.
COSARCAND	16MG/12.5MG	BTE/30	COMP.
COSARTAN 50	50MG	B/30	COMP.ENROB.
COSARTEG	160MG/12.5MG	BTE/30	COMP.ENRO.
COSARTEG	80MG/12.5MG	BTE/30	COMP.ENRO.
COSOPT	20MG/5MG/ML	B/1FLACON DE 5ML	COLLY.
COSOTIMOL	20MG/5MG/ML	FL/5ML	COLLY.
COSTI	10MG	B/50	COMP.
COTAREG	160MG/12.5MGMG/12.5MG	B/28	COMP.PELLI
COTAREG	160MG/25MGMG/25MG	B/28	COMP.PELLI
COTAREG	80MG/12.5MG	B/28	COMP.PELLI
COTRIM	200MG/40MG/5MLMG/MG	FL/100 ML	SUSP.BUV.
COTRIMAZOLE	200MG/40MG/5ML	FL/100 ML	SUSP.BUV.
COTRIMOXAL	400MG/80MG	B/20	COMP.
COTRIMOXAL FORTE	800MG/160MG	BTE/10	COMP.SEC.
COTRIMOXAL FORTE	800MG/160MG	BTE/20	COMP.SEC.
COTRIMOXAZOLE	200MG/40MG/5ML	FL/100 ML	SUSP.BUV.
COTRIMOXAZOLE	400MG/80MG	B/20	COMP.
COTROSYN	0.25MG/ML	B/1	PDRE.SOL.IN
COTROSYN	0.25MG/ML	B/10	PDRE.SOL.IN
COTROSYN DEPOT	0.5MG/ML	B/1	PDRE.SOL.IN
COVALASTAN	160MG/12.5MG	BTE /30	COMP.PELLI
COVERAM	10MG/10MG	BTE/30	COMP.
COVERAM	10MG/5MG	BTE/30	COMP.
COVERAM	5MG/10MG	BTE/30	COMP.
COVERAM	5MG/5MG	BTE/30	COMP.
COVERSYL	10MG	BTE/30	COMP.PELLI
COVERSYL	4MG	B/30	COMP.SEC.
COVERSYL	5MG	BTE/30	COMP.PELLI.
COVERSYL	8MG	BTE/30	COMP.
COVESTAG	160MG/12.5MG	BTE/30	COMP.PELLI
COVESTAG	80MG/12.5MG	BTE/30	COMP.PELLI
COXIBREX	100MG	BTE/20	GLES.
COXIBREX	100MG	BTE/30	GLES.
COXIBREX	200MG	BTE/10	GLES.
COXIBREX	200MG	BTE/30	GLES.
COXITAB	100MG	BTE/20	GLES.
COXITAB	200MG	BTE/10	GLES.
COXITAB	200MG	BTE/30	GLES.
COZAAR	100MG	B/28	COMP.PELLI
COZAAR	50MG	B/28	COMP.
COZIBRAT	150MG/12.5MG	BTE/30	COMP.PELLI
COZIBRAT	300MG/12.5MG	BTE/30	COMP.PELLI
COZOLAMIDE	20MG/5MG/ML	FL/ 5 ML	COLLY.
CREON	12000UI	B/60	GLES.
CREON 10 000U	150MG	PILULIER/60	GLES.GAST.R
CRESOVAST	10MG	BTE/30	COMP.PELLI
CRESOVAST	20MG	BTE/30	COMP.PELLI
CRESOVAST	40MG	BTE/30	COMP.PELLI
CRESOVAST	5MG	BTE/30	COMP.PELLI
CRESTADIS	10MG	BTE/28	COMP.PELLI
CRESTADIS	20MG	BTE/28	COMP.PELLI
CRESTADIS	5MG	BTE/28	COMP.PELLI
CRESTAT	20MG	BTE/30	COMP.PELLI
CRESTATINE	10MG	BTE/30	COMP.PELLI
CRESTATINE	20MG	BTE/30	COMP.PELLI
CRESTOR	10MG	BTE/30	COMP.PELLI
CRESTOR	20MG	BTE/30	COMP.PELLI
CRESTOR	5MG	BTE/30	COMP.PELLI
CROBENDAZOLE	500MG	B/6	COMP. A CRO
CROBENZAL	15MG	B/10	OV.
CRODERMIN	0.05%	T/30 G	GEL.DERM.
CRODIOM	2%	FL/10 ML	COLLY.
CROFENAC	25MG	B/10	SUPPO.
CROFENON	300MG	B/30	COMP.ENRO.
CROFORMINE	500MG	B/50	COMP.
CROFURIL	100MG	B/30	COMP.
CROFURIL	344MG/100ML	FL/25 ML	SUSP.BUV.
CROMAL-5	5MG	FL/112 DOSES	PDRE.AERO.
CROMEDIL	2%	B30 RECIP UNID 0.3ML	COLLY.
CROMETRINE	0.25MG/ML	FL/10 ML	SOL.BUV.GTT
CROMIZOLE	1%	T/30 G	CRE.DERMIQU
CROMOGLYCATE CHAUVIN	2%	FL/5 ML	COLLY.
CROMOGLYCATE DE SODIUM	2%	FL/5 ML	COLLY.
CROMOLOL	0.25%	FL/5 ML	COLLY.
CROMONAL	2%	FL/10 ML	SOL.NAS.
CROMOSOL	2%2G/100ML	FL/15ML	SOL.NAS.
CRONIDINE	0.15MG	B/20	COMP.
CRONIL	10MG	B/60	DRG.
CRONIL	10MG	BTE/60	DRG.
CRONIL	25MG	B/50	DRG.
CRONIL	75MG	B/20	DRG.
CRONOLONE	0.10%	T/5 G	COLLY.
CRONOLONE	1MG	B/24	COMP.
CRONOLONE	4MG	B/24	COMP.
CRONOLONE-NEO	0.35%/0.1%	T/3 G	PDE.OPHT.
CRONOLONE-NEO-NISTA	10MUI/0.1G/	T/15 G	PDE.
CROPHENICOL	0.40%	FL/5 ML	COLLY.
CROPHENICOL	1%/5G	T/5 G	PDE.OPHT.
CROPHENICOL	125MG/5ML	FL/60 ML	SUSP.BUV.
CROPINE	0.25%	FL/15 ML	COLLY.
CROPINE	0.50%	FL/15 ML	COLLY.
CROPINE	1%	FL/15 ML	COLLY.
CROQUINE	100MG	B/20	COMP.
CROSULCAF	10%/0.5%	FL/10 ML	COLLY.
CROTIAZIDE	50MG/5MG	B/30	COMP.
CROTIROXINE	100G	B/50	COMP.
CROTIROXINE	50G	B/50	COMP.
CROTOLOL	200MG	B/20	COMP.PELLI
CROTOLOL	400MG	B/30	COMP.PELLI
CROVASINE	1%	T/15 G	CRE.DERMIQU
CROVIFENE	50MG	B/10	COMP.
CROVIMAL	500MG	B/12	SUPPO.
CROVIMAZOLE	5MG	B/50	COMP.
CROXIZINE	100MG	B/30	COMP.
CROXIZINE	25MG	B/30	COMP.
CROXYPOL	3G/0.1G	T/15 G	PDE.DERM.
CURACNE	10MG	B/30	CAPSULE MOL
CURACNE	20MG	B/30	CAPSULE MOL
CURACNE	5MG	B/30	CAPSULE MOL
CURAM	125MG/31.25MG/5MLMG/ML	FL/60 ML	SIR.
CURAM	250MG/62.5MG/5ML	FL/60 ML	SIR.
CURAM	500MG/125MG	B/12	COMP.
CURATEC	5MG	B/30	COMP.
CURESTAT	250MG	B/20	GLES.
CUSICROM	2%	FL/30 ML	COLLY.
CUSICROM	2%	FL/30 ML	SPRAY
CUSIMOLOL	0.25%	FL/5 ML	COLLY.
CUSIMOLOL	0.50%	FL/5 ML	COLLY.
CUSIVIRAL	3%	T/4.5 G	PDE.OPHT.
CUTACNYL	10%	T/40 G	GEL
CUTACNYL	2.50%	T/40 G	GEL.DERM.
CUTACNYL	5%	T/40 G	GEL
CYACETINE	60MG	BTE/30	GLS/MICR/GA
CYANOCOBAL	1000G/ML	B/5	SOL.INJ.
CYANOCOBALAMINE	1000G/ML	B/10	SOL.INJ.
CYANOCOBALAMINE	1000G/ML	B/5 AMP DE 1ML	SOL.INJ.
CYCLADOL	191.2MGEQUIV20MGPIROXICAM	B/14	COMP.SEC.
CYCLADOL	20MGPIRO-BETA-CYCLO191.2MG	BTE/14	COMP.EFFER.
CYMBALTA	30MG	BTE/28	GLES.GAST.R
CYMBALTA	60MG	BTE/28	GLES.GAST.R
CYMOXETINE	30MG	BTE/30	GLES.GAST.R
CYMOXETINE	60MG	BTE/30	MICGR GAST
CYPROHETADINE	2MG/5ML	FL/100 ML	SOLUTE BUV.
CYRTEX	10MG/ML	FL/15 ML	SOL.BUV.GTT
CYTOTAM-10	10MG	BTE/30	COMP.
CYTOTAM-20	20MG	BTE/30	COMP.
CYTOTREX	2.50MG	B/20	COMP.
D-THREE	200000UI/ML	BTE/01 AMP 2ML	SOL.INJ.IM
DACROME	2%	FL/10 ML	SOL.NAS.
DACROME	2%%/10ML	FL/10 ML	COLLY.
DACRYOLARMES	1G/100ML	FL/10ML	SOL.OPHT.
DADCROM	2%	F/10ML	SOL.NAS.
DADCROM	2%	FL/10 ML	COLLY.
DAFALGAN	500MG	B/16	GLES.
DAFALGAN CODEINE	500MG/30MGMG/30MG	B/16	COMP.PELLI
DAGHTAN 100	100MG	BTE/30	COMP.PELLI.
DAGHTAN 50	50MG	BTE/30	COMP.PELLI.
DAIVOBET	50G/0.5MG	TUBE/60G	PDE.
DAIVOBET	50G/0.5MG/G	FL/60 G	GEL
DAIVONEX	0.005%	TUBE/30G	CRE.
DAIVONEX	50G/G	T/30 G	PDE.
DAIVOREM	50G/G	TUBE/30 G	PDE.
DAIVOREM PLUS	50G/0.5MG/G	TUBE/60G	PDE.
DAKTARIN	2%	FL/30 G	LOTION
DAKTARIN	2%	T/30 G	GEL.DERM.
DAKTARIN 2%	2G%G%	T/40G	GEL BUCC
DAKTAZOL	2%	TUBE/40G	GEL BUCC
DAKTAZYL	2%	TUBE/40G	GEL BUCC
DANATROL	200MG	B/100	GLES.
DANDREX	2%	FL/100ML	SHAMPOING
DANIPROL	500MG	B/20	COMP.
DAONIL	5MG	B/20	COMP.
DAPAFLUX	10MG	BTE/30	COMP.PELLI
DAPROSAL	0.05G/3G/100G	TUBE/15 G	PDE.
DARISLOR	0.5MG/ML	FL/150 ML	SIR.
DARISLOR	5MG	BTE/15	COMP.PELLI
DARISLOR	5MG	BTE/30	COMP.PELLI
DARLETON	50MG	B/24	COMP.
DAROXIME	125MG	B/10	COMP.
DAROXIME	250MG	B/10	COMP.
DAROXIME	250MG	BTE/14	COMP.PELLI
DARTELIN	400MG	B/20	COMP.LP.
DARTIX	160MG/10MG	BTE/30	GLES.
DARTIX	160MG/5MG	BTE/30	COMP.PELLI
DARTIX	80MG/5MG	BTE/30	GLES.
DARZOX	1.5MG	BTE/30	COMP.PELL.L
DAZIL	75MG	BTE/30	COMP.PELLI
DEBRICALM	100MG	BTE/10	SUPPO.
DEBRIDAT	0.787/(100G)	FL/250 ML	GRLES.
DEBRIDAT	100MG	B/10	SUPPO.
DEBRIDAT	100MG	B/20	COMP.
DEBRIDAT	100MG	B/30	COMP.
DEBRIDAT	200MG	B/30	COMP.PELLI
DEBRIDAT	50MG/5ML	B/5 AMP	SOL.INJ.
DEBRITINE	0.787G/100G(4.8MG/ML)	FL/250ML	GRLES.SUSP.
DEBRITINE	100MG	B/20	COMP.
DEBRITINE	100MG	B/30	COMP.
DEBRITINE	200MG	BTE/30	COMP.
DECA-DURABOLIN	50MG/ML	B/1FL DE 1ML	SOL.INJ.
DECAPEPTYL	0.1MG/1ML	B/7+7	SOL.INJ.
DECAPEPTYL	11.25MG/FLACONDEPOUDRE	B01 FL PDR+01APM 2ML	IS PDR.SOLV.P.
DECAPEPTYL	3.75MG/FLACONDEPOUDRE	B1 FL PDR+01AMP 2ML	PDR.SOLV.P.
DEDOLOR	100MG	B/10	GLES.
DEDROGYL	5G/GOUTTE	FL/10ML	SOL.BUV.
DEDROGYL	5G/GTTTES	FL/10 ML	SOL.BUV.
DEFLAMAC	1%	TUBE/50G	GEL
DEFLAMBETA	0.5MG	B/30	COMP.
DEGRANOL	200MG	B/50	COMP.
DEKTAGEL	2%	TUBE/40G	GEL BUCC
DEMENTILE	10MG	BTE/30	COMP.PELLI
DEMENTILE	5MG	BTE/30	COMP.PELLI
DENACINE	1%(10MG/1ML)	FL/30ML	SOL APPL LO
DENACINE EMULGEL	1%	TUBE/30G	GEL.DERM.
DENORAL	0.2MG/0.75MG/	FL/150ML	SIR.
DENORAL	0.9MG/3.375MG	FL/150ML	SIR.
DENORAL	1/5/30MG	B/20	COMP.
DEPADIUM	10MG	BTE/30	COMP.PELLI
DEPAKINE	200MG	B/40	COMP.
DEPAKINE	200MG/ML	FL/40 ML	SOL.BUV.
DEPAKINE	500MG	B/40	COMP.
DEPAKINE	500MG	B/40	COMP.GASTRO
DEPAKINE CHRONO	333MG/145MG(500MGVAL/SODIUM)	B/30	COMP.PELL.S
DEPO-MEDROL	40MG/ML	B/1 SERINGUE PR REMP	SUSP.INJ.
DEPOLAN 10	10MG	BTE/30	COMP.PELLI
DEPOLAN 5	5MG	BTE/30	COMP.PELLI
DEPONIT NT 10	10MG/24H	B/10	PATCH
DEPONIT NT 5	5MG/24H	B/10	PATCH
DEPREKS	20MG	B/16	GLES.
DEPRESTAT LP	25MG	BTE/60	MICROGRAN L
DEPRETINE	10MG	B/30	COMP.ENRO.
DEPRETINE	20MG	BTE/30	COMP.ENRO.
DEPREX	20MG	BTE/30	COMP.PELLI.
DEPRIDOL	5MG/ML	BTE/05 AMPOULES	SOL INJ.IM.
DEPRISOLE	20MG	BTE/20	COMP ORO DI
DEPRISOLE	5MG	BTE/30	COMP ORO DI
DERMA-T	1%(10MG/ML)	FL/30 ML	SOL APPL LO
DERMADINE	10%	FL/50 ML	SOL APPL LO
DERMAFINE	1%	TUBE/15G	CRE.
DERMAFINE	250MG	BTE/16	COMP.SEC.
DERMASONE	0.05%	FL/15G	LOTION DERM
DERMASONE	0.05%	TUBE/15G	PDE.DERM.
DERMASONE	0.1%	T/15G	PDE.DERM.
DERMAZIN	1%	T/25 G	CRE.
DERMAZOLE	2%	T/20G	CRE.DERM.
DERMESTRIL	25G/24H	B/8	PATCH
DERMESTRIL	50G/24H	B/8	PATCH
DERMOBACTER	0.200G/0.500G/100ML	FL/300ML	SOL.APP.CUT
DERMOCONAZOLE	2%	TUBE/20 G	CRE.
DERMOFIX	2%	T/100G	GEL
DERMOFIX	2%	TUBE/20 G	CRE.
DERMONYX	2%	TUBE/15G	CRE.
DERMOSA CUSI	100000UI/G	T/30 G	CRE.DERMIQU
DERMOSA CUSI NYSTATINE	100000UI/G	T/30 G	PDE.DERM.
DERMOX	2%	TUBE/20 G	CRE.DERM.
DEROXAT	20MG	B/14	COMP.PELLI.
DESACROVIS	0.5MG	B/30	COMP.
DESACROVIS	50MG	T/30 G	PDE.DERM.
DESDOLE BGL	0.5MG/ML	FL/120 ML	SOL.BUV.
DESDOLE BGL	5MG	BTE/15	COMP.PELLI
DESDOLE BGL	5MG	BTE/30	COMP.PELLI
DESFERAL	500MG	B/1 FLC DE 7.5 ML	SOL.INJ.
DESIRETT	75G	BTE/28	COMP.PELLI
DESLOR	0.5MG/ML	FL/150ML	SIR.
DESLOR	5MG	BTE/15	COMP.PELLI
DESLOR	5MG	BTE/30	COMP.PELLI
DESLORAL	0.5MG/ML	FL/120 ML	SOL.BUV.
DESLORAL	5MG	B/15	COMP.PELLI
DESLORAL	5MG	B/30	COMP.PELLI
DESLORINE	0.5MG/ML	FL/120 ML	SOL.BUV.
DESLOTINE	0.5MG/ML	FL/150 ML	SIR.
DESOGESTREL PHARBIL	75G	BTE/28	COMP.PELLI
DESONETTE	75G	BTE/28	COMP.PELLI
DESONYX	0.1%	T/15 G	CRE.
DESOPRED	100MG/100G	TUBE/15 G	CRE.
DESPAVINE	100MG	BTE/30	COMP.PELLI
DETENPRESS	10MG	BTE/30	COMP.PELLI.
DETENSIEL	10MG	B/30	COMP.PELLI.
DETENSIEL	10MG	BT/28	COMP.PELLI
DEXAGRANE	100MG/340000U	FL/5 ML	COLLY.
DEXAL	0.5MG	B/30	COMP.
DEXALEK	0.5MG	B/30	COMP.
DEXALEK	4MG/ML	B/3 AMP	SOL.INJ.
DEXAMED	0.5MG	B/20	COMP.
DEXAMETHASONE	4MG/ML	B/100 AMP	SOL.INJ.
DEXAMETHASONE INPHA MEDIS	4MG/ML	BTE/05 AMP DE 1 ML	SOL.INJ.IM
DEXAMETHASONE LEURQUIN	4MG/1ML	B/3	SOL.INJ.
DEXAMETHASONE PHOSPHATE	20MG	B/5 AMP DE 5ML	SOL.INJ.
DEXAMETYD	20MG/5ML	BTE/5AMPOULES DE 5ML	SOL.INJ.IM/
DEXAMETYD	4MG/ML	BT/5 AMP 1ML(4MG/ML)	SOL.INJ.IM/
DEXAMEX	350000UI/100MG/%	FL/5 ML	COLLY.
DEXASONE	4ML/ML	B/5 AMP DE 1 ML	SOL.INJ.
DEXCHLORPHENIRAMINE	0.5MG/5ML	FL/125 ML	SIR.
DEXCHLORPHENIRAMINE AFRO	0.5MG/5ML	FL/125ML	SOL.BUV.
DEXILANT	30MG	BTE/14	GLES.LR
DEXILANT	60MG	BTE/14	GLES.LR
DEXOREN	0.25MG	B/20	COMP.
